#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: FFFBH01_02_1987
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 19870101 TO 19871231
#LOCATION: Fremantle Fishing Boat Harbour
#Station Status:  Updated
#Lat: -32.065556  Long: 115.748056
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: LWM Fremantle 1949     which is   2.752   m below Benchmark   DMH 098   
#National Station ID:   NA
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 15
#
H(cm),YYYYMMDD.hhmm/
00080,19870101.0000/
00079,19870101.0015/
00075,19870101.0030/
00073,19870101.0045/
00068,19870101.0100/
00067,19870101.0115/
00063,19870101.0130/
00056,19870101.0145/
00050,19870101.0200/
00047,19870101.0215/
00042,19870101.0230/
00039,19870101.0245/
00035,19870101.0300/
00032,19870101.0315/
00031,19870101.0330/
00028,19870101.0345/
00023,19870101.0400/
00019,19870101.0415/
00012,19870101.0430/
00009,19870101.0445/
00008,19870101.0500/
00006,19870101.0515/
00001,19870101.0530/
-0001,19870101.0545/
-0003,19870101.0600/
-0005,19870101.0615/
-0007,19870101.0630/
-0008,19870101.0645/
-0011,19870101.0700/
-0007,19870101.0715/
-0007,19870101.0730/
-0005,19870101.0745/
-0004,19870101.0800/
-0004,19870101.0815/
00000,19870101.0830/
00003,19870101.0845/
00003,19870101.0900/
00005,19870101.0915/
00008,19870101.0930/
00006,19870101.0945/
00011,19870101.1000/
00015,19870101.1015/
00017,19870101.1030/
00019,19870101.1045/
00020,19870101.1100/
00023,19870101.1115/
00025,19870101.1130/
00022,19870101.1145/
00025,19870101.1200/
00029,19870101.1215/
00028,19870101.1230/
00029,19870101.1245/
00031,19870101.1300/
00033,19870101.1315/
00035,19870101.1330/
00033,19870101.1345/
00034,19870101.1400/
00034,19870101.1415/
00036,19870101.1430/
00036,19870101.1445/
00040,19870101.1500/
00042,19870101.1515/
00044,19870101.1530/
00047,19870101.1545/
00052,19870101.1600/
00054,19870101.1615/
00054,19870101.1630/
00053,19870101.1645/
00058,19870101.1700/
00060,19870101.1715/
00062,19870101.1730/
00064,19870101.1745/
00066,19870101.1800/
00068,19870101.1815/
00071,19870101.1830/
00072,19870101.1845/
00075,19870101.1900/
00077,19870101.1915/
00079,19870101.1930/
00079,19870101.1945/
00084,19870101.2000/
00086,19870101.2015/
00086,19870101.2030/
00087,19870101.2045/
00087,19870101.2100/
00087,19870101.2115/
00088,19870101.2130/
00087,19870101.2145/
00084,19870101.2200/
00082,19870101.2215/
00085,19870101.2230/
00086,19870101.2245/
00088,19870101.2300/
00085,19870101.2315/
00082,19870101.2330/
00081,19870101.2345/
00079,19870102.0000/
00077,19870102.0015/
00074,19870102.0030/
00070,19870102.0045/
00067,19870102.0100/
00069,19870102.0115/
00065,19870102.0130/
00059,19870102.0145/
00055,19870102.0200/
00051,19870102.0215/
00046,19870102.0230/
00044,19870102.0245/
00038,19870102.0300/
00037,19870102.0315/
00032,19870102.0330/
00032,19870102.0345/
00028,19870102.0400/
00024,19870102.0415/
00022,19870102.0430/
00021,19870102.0445/
00015,19870102.0500/
00011,19870102.0515/
00009,19870102.0530/
00006,19870102.0545/
00006,19870102.0600/
00003,19870102.0615/
00001,19870102.0630/
00002,19870102.0645/
-0001,19870102.0700/
-0003,19870102.0715/
-0003,19870102.0730/
-0005,19870102.0745/
-0002,19870102.0800/
-0003,19870102.0815/
-0003,19870102.0830/
-0001,19870102.0845/
00003,19870102.0900/
00002,19870102.0915/
00007,19870102.0930/
00009,19870102.0945/
00007,19870102.1000/
00007,19870102.1015/
00010,19870102.1030/
00013,19870102.1045/
00012,19870102.1100/
00014,19870102.1115/
00018,19870102.1130/
00025,19870102.1145/
00026,19870102.1200/
00025,19870102.1215/
00031,19870102.1230/
00031,19870102.1245/
00032,19870102.1300/
00032,19870102.1315/
00031,19870102.1330/
00033,19870102.1345/
00036,19870102.1400/
00035,19870102.1415/
00039,19870102.1430/
00038,19870102.1445/
00041,19870102.1500/
00044,19870102.1515/
00046,19870102.1530/
00047,19870102.1545/
00045,19870102.1600/
00045,19870102.1615/
00050,19870102.1630/
00054,19870102.1645/
00055,19870102.1700/
00056,19870102.1715/
00059,19870102.1730/
00065,19870102.1745/
00066,19870102.1800/
00065,19870102.1815/
00066,19870102.1830/
00069,19870102.1845/
00070,19870102.1900/
00070,19870102.1915/
00076,19870102.1930/
00078,19870102.1945/
00079,19870102.2000/
00082,19870102.2015/
00081,19870102.2030/
00084,19870102.2045/
00085,19870102.2100/
00085,19870102.2115/
00086,19870102.2130/
00088,19870102.2145/
00091,19870102.2200/
00091,19870102.2215/
00086,19870102.2230/
00088,19870102.2245/
00089,19870102.2300/
00088,19870102.2315/
00087,19870102.2330/
00089,19870102.2345/
00093,19870103.0000/
00092,19870103.0015/
00087,19870103.0030/
00085,19870103.0045/
00084,19870103.0100/
00084,19870103.0115/
00083,19870103.0130/
00081,19870103.0145/
00076,19870103.0200/
00070,19870103.0215/
00073,19870103.0230/
00069,19870103.0245/
00061,19870103.0300/
00060,19870103.0315/
00055,19870103.0330/
00056,19870103.0345/
00058,19870103.0400/
00054,19870103.0415/
00049,19870103.0430/
00047,19870103.0445/
00046,19870103.0500/
00041,19870103.0515/
00037,19870103.0530/
00035,19870103.0545/
00033,19870103.0600/
00032,19870103.0615/
00029,19870103.0630/
00030,19870103.0645/
00027,19870103.0700/
00028,19870103.0715/
00026,19870103.0730/
00025,19870103.0745/
00024,19870103.0800/
00021,19870103.0815/
00019,19870103.0830/
00024,19870103.0845/
00024,19870103.0900/
00025,19870103.0915/
00026,19870103.0930/
00029,19870103.0945/
00031,19870103.1000/
00032,19870103.1015/
00032,19870103.1030/
00030,19870103.1045/
00030,19870103.1100/
00031,19870103.1115/
00034,19870103.1130/
00034,19870103.1145/
00039,19870103.1200/
00040,19870103.1215/
00043,19870103.1230/
00047,19870103.1245/
00044,19870103.1300/
00049,19870103.1315/
00048,19870103.1330/
00048,19870103.1345/
00053,19870103.1400/
00050,19870103.1415/
00048,19870103.1430/
00050,19870103.1445/
00049,19870103.1500/
00052,19870103.1515/
00053,19870103.1530/
00054,19870103.1545/
00055,19870103.1600/
00057,19870103.1615/
00058,19870103.1630/
00058,19870103.1645/
00060,19870103.1700/
00060,19870103.1715/
00065,19870103.1730/
00066,19870103.1745/
00068,19870103.1800/
00071,19870103.1815/
00072,19870103.1830/
00077,19870103.1845/
00074,19870103.1900/
00075,19870103.1915/
00079,19870103.1930/
00078,19870103.1945/
00081,19870103.2000/
