date,tide,residual,predicted
26/09/2022 00:00,0.72,-7,0.79
26/09/2022 00:30,0.71,-5,0.76
26/09/2022 00:45,0.72,-3,0.75
26/09/2022 01:00,0.71,-2,0.73
26/09/2022 01:15,0.68,-4,0.72
26/09/2022 01:30,0.72,2,0.70
26/09/2022 01:45,0.66,-3,0.69
26/09/2022 02:00,0.61,-7,0.68
26/09/2022 02:15,0.62,-5,0.67
26/09/2022 02:30,0.62,-4,0.66
26/09/2022 02:45,0.60,-5,0.65
26/09/2022 03:00,0.56,-9,0.65
26/09/2022 03:15,0.55,-10,0.65
26/09/2022 03:45,0.59,-6,0.65
26/09/2022 04:00,0.59,-6,0.65
26/09/2022 04:15,0.63,-3,0.66
26/09/2022 04:30,0.63,-3,0.66
26/09/2022 04:45,0.64,-3,0.67
26/09/2022 05:00,0.66,-2,0.68
26/09/2022 05:30,0.67,-4,0.71
26/09/2022 05:45,0.66,-6,0.72
26/09/2022 06:00,0.69,-5,0.74
26/09/2022 06:15,0.71,-4,0.75
26/09/2022 06:30,0.75,-2,0.77
26/09/2022 06:45,0.74,-4,0.78
26/09/2022 07:00,0.76,-3,0.79
26/09/2022 07:15,0.80,-1,0.81
26/09/2022 07:30,0.80,-2,0.82
26/09/2022 07:45,0.82,-2,0.84
26/09/2022 08:00,0.82,-3,0.85
26/09/2022 08:15,0.83,-3,0.86
26/09/2022 08:30,0.86,-2,0.88
26/09/2022 08:45,0.87,-2,0.89
26/09/2022 09:00,0.88,-2,0.90
26/09/2022 09:15,0.91,0,0.91
26/09/2022 09:30,0.89,-2,0.91
26/09/2022 09:45,0.90,-1,0.91
26/09/2022 10:00,0.91,0,0.91
26/09/2022 10:15,0.85,-6,0.91
26/09/2022 10:30,0.89,-2,0.91
26/09/2022 10:45,0.88,-3,0.91
26/09/2022 11:00,0.89,-1,0.90
26/09/2022 11:15,0.89,0,0.89
26/09/2022 11:30,0.89,1,0.88
26/09/2022 12:00,0.86,0,0.86
26/09/2022 12:15,0.81,-3,0.84
26/09/2022 12:30,0.80,-2,0.82
26/09/2022 12:45,0.79,-2,0.81
26/09/2022 13:00,0.74,-5,0.79
26/09/2022 13:15,0.72,-5,0.77
26/09/2022 13:30,0.70,-4,0.74
26/09/2022 13:45,0.67,-6,0.73
26/09/2022 14:00,0.66,-5,0.71
26/09/2022 14:15,0.65,-4,0.69
26/09/2022 14:30,0.66,-2,0.68
26/09/2022 14:45,0.66,0,0.66
26/09/2022 15:00,0.61,-4,0.65
26/09/2022 15:15,0.57,-8,0.65
26/09/2022 15:30,0.62,-2,0.64
26/09/2022 15:45,0.61,-3,0.64
26/09/2022 16:00,0.56,-8,0.64
26/09/2022 16:15,0.53,-11,0.64
26/09/2022 16:45,0.61,-4,0.65
26/09/2022 17:15,0.60,-7,0.67
26/09/2022 17:45,0.66,-3,0.69
26/09/2022 18:00,0.67,-3,0.70
26/09/2022 18:30,0.69,-4,0.73
26/09/2022 18:45,0.70,-4,0.74
26/09/2022 19:00,0.72,-3,0.75
26/09/2022 19:15,0.68,-9,0.77
26/09/2022 19:30,0.67,-11,0.78
26/09/2022 19:45,0.74,-5,0.79
26/09/2022 20:00,0.71,-9,0.80
26/09/2022 20:45,0.80,-4,0.84
