Agency_Name,Program_Name,Station_ID,Site_Description,Tag,mAHD,Lat,Lon,Label
Western Australian Marine Science Institution,WWMSP3,,,WAMSI-WWMSP3-SEDPSD,-5.7445,-32.1445793,115.7653062,WAMSI-WWMSP3-SEDPSD
Fremantle Port Authority,MQMP,BR1,BR1,FPA-MQMP,-11.6952,-32.0195599,115.7834743,FPA-MQMP
Western Australian Marine Science Institution,WWMSP3,CSR14,CSR14,WAMSI-WWMSP3-SEDDEP,-6.7462,-32.190876,115.74633,WAMSI-WWMSP3-SEDDEP
Western Australian Marine Science Institution,WWMSP3,CSSF-DL,CSSF-DL,WAMSI-WWMSP3-SEDDEP,-3.1501,-32.24814834,115.7114493,WAMSI-WWMSP3-SEDDEP
Fremantle Port Authority,MQMP,DW1,DW1,FPA-MQMP,-16.1375,-32.0008087,115.6944252,FPA-MQMP
Fremantle Port Authority,MQMP,DW2,DW2,FPA-MQMP,-17.5568,-31.9798619,115.6917342,FPA-MQMP
Fremantle Port Authority,MQMP,DW3,DW3,FPA-MQMP,-17.9460,-31.9659546,115.67513,FPA-MQMP
Fremantle Port Authority,MQMP,FP1,FP1,FPA-MQMP,-9.1064,-32.0574824,115.7253161,FPA-MQMP
Fremantle Port Authority,MQMP,FP10,FP10,FPA-MQMP,-15.7272,-32.0458921,115.7462075,FPA-MQMP
Fremantle Port Authority,MQMP,FP3,FP3,FPA-MQMP,-5.4590,-32.0546386,115.7367555,FPA-MQMP
Fremantle Port Authority,MQMP,FP4.1,FP4.1,FPA-MQMP,-9.6100,-32.049421,115.7452335,FPA-MQMP
Fremantle Port Authority,MQMP,FP4.2,FP4.2,FPA-MQMP,-8.9874,-32.0496742,115.7447605,FPA-MQMP
Fremantle Port Authority,MQMP,FP5,FP5,FPA-MQMP,2.0000,-32.0408598,115.7481017,FPA-MQMP
Fremantle Port Authority,MQMP,FP6,FP6,FPA-MQMP,0.0000,-32.0499246,115.740292,FPA-MQMP
Fremantle Port Authority,MQMP,FP7,FP7,FPA-MQMP,-9.1361,-32.0420042,115.7524677,FPA-MQMP
Fremantle Port Authority,MQMP,FP8,FP8,FPA-MQMP,0.0000,-32.0463269,115.7426755,FPA-MQMP
Fremantle Port Authority,MQMP,FP9,FP9,FPA-MQMP,1.0000,-32.0436055,115.7453998,FPA-MQMP
Fremantle Port Authority,MQMP,GR1,GR1,FPA-MQMP,-17.1757,-32.0235807,115.7198707,FPA-MQMP
Western Australian Marine Science Institution,WWMSP3,JB16A,JB16A,WAMSI-WWMSP3-SEDDEP,-8.1948,-32.173529,115.768373,WAMSI-WWMSP3-SEDDEP
Fremantle Port Authority,MQMP,KBJ1,KBJ1,FPA-MQMP,-10.6722,-32.2390133,115.7560601,FPA-MQMP
Fremantle Port Authority,MQMP,KBJ2,KBJ2,FPA-MQMP,-13.2048,-32.2410672,115.7549072,FPA-MQMP
Fremantle Port Authority,MQMP,KBJ3,KBJ3,FPA-MQMP,-13.2403,-32.243459,115.7544785,FPA-MQMP
Fremantle Port Authority,MQMP,KBT1,KBT1,FPA-MQMP,-11.1744,-32.2085958,115.7646391,FPA-MQMP
Fremantle Port Authority,MQMP,KBT2,KBT2,FPA-MQMP,-11.3169,-32.21066,115.7604122,FPA-MQMP
Fremantle Port Authority,MQMP,KBT3,KBT3,FPA-MQMP,-10.9188,-32.2109817,115.7622825,FPA-MQMP
Western Australian Marine Science Institution,WWMSP3,OA1,OA1,WAMSI-WWMSP3-SEDDEP,-7.8870,-32.093949,115.676266,WAMSI-WWMSP3-SEDDEP
Fremantle Port Authority,MQMP,PB1,PB1,FPA-MQMP,-13.8496,-32.1236013,115.7021541,FPA-MQMP
Fremantle Port Authority,MQMP,PB2,PB2,FPA-MQMP,-11.3189,-32.1313039,115.7039492,FPA-MQMP
Fremantle Port Authority,MQMP,RH1,RH1,FPA-MQMP,-7.3886,-32.0513613,115.7308832,FPA-MQMP
Fremantle Port Authority,MQMP,RH2,RH2,FPA-MQMP,-5.7470,-32.0488936,115.7330189,FPA-MQMP
Fremantle Port Authority,MQMP,RH3,RH3,FPA-MQMP,-7.6424,-32.0396559,115.7361151,FPA-MQMP
Western Australian Marine Science Institution,WWMSP3,S4S10,S4S10,WAMSI-WWMSP3-SEDDEP,-7.0864,-32.184894,115.757136,WAMSI-WWMSP3-SEDDEP
Fremantle Port Authority,MQMP,SB1,SB1,FPA-MQMP,-15.3345,-32.0829759,115.6929513,FPA-MQMP
Fremantle Port Authority,MQMP,SB2,SB2,FPA-MQMP,-13.4347,-32.0952884,115.6956044,FPA-MQMP
