Agency_Name,Program_Name,Station_ID,Site_Description,Tag,mAHD,Lat,Lon,Label
Department of Water and Environmental Regulation,Estuary,616011,616011,DWER-SWANCATCH,17.0000,-31.750532,116.068524,616011
Department of Water and Environmental Regulation,Estuary,616027,616027,DWER-SWANCATCH,17.0000,-32.092305,116.016772,616027
Department of Water and Environmental Regulation,Estuary,616076,616076,DWER-SWANCATCH,14.0000,-31.781685,116.022904,616076
Department of Water and Environmental Regulation,Estuary,616082,616082,DWER-SWANCATCH,16.0000,-31.924246,115.921949,616082
Department of Water and Environmental Regulation,Estuary,616084,616084,DWER-SWANCATCH,9.0000,-31.877703,115.959526,616084
Department of Water and Environmental Regulation,Estuary,616086,616086,DWER-SWANCATCH,14.0000,-31.900081,116.007611,616086
Department of Water and Environmental Regulation,Estuary,616087,616087,DWER-SWANCATCH,2.0000,-31.948283,115.919319,616087
Department of Water and Environmental Regulation,Estuary,616088,616088,DWER-SWANCATCH,9.0000,-31.862701,116.013985,616088
Department of Water and Environmental Regulation,Estuary,616092,616092,DWER-SWANCATCH,13.0000,-32.078355,115.978799,616092
Department of Water and Environmental Regulation,Estuary,616099,616099,DWER-SWANCATCH,9.0000,-31.817712,116.014051,616099
Department of Water and Environmental Regulation,Estuary,616178,616178,DWER-SWANCATCH,17.0000,-31.883961,116.09479,616178
Department of Water and Environmental Regulation,Estuary,616189,616189,DWER-SWANCATCH,17.0000,-31.751071,116.02483,616189
Department of Water and Environmental Regulation,Estuary,6162925,6162925,DWER-SWANCATCH,14.0000,-31.87615,116.017298,6162925
Department of Water and Environmental Regulation,Estuary,6164314,6164314,DWER-SWANCATCH,11.0000,-31.789477,116.003947,6164314
Department of Water and Environmental Regulation,Estuary,6164462,6164462,DWER-SWANCATCH,2.0000,-31.949031,115.919732,6164462
