Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9172_Ceilometer_cloud_height_of_second_group_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Active
Lat,-32.10110000
Long,115.87940000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9172
Site Description,JANDAKOT AERO
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Variable ID,var00169
Data Classification,MET General
Sampling Rate (min),124.9459
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Ceilometer cloud height of second group (ft)
QC,String
