Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9214_Wind_Direction_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Active
Lat,-31.75940000
Long,115.72780000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9214
Site Description,OCEAN REEF                              
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Data Classification,MET General
Sampling Rate (min),29.0935
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Wind Direction (ø),Decimal
QC,String
