Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9255_Ceilometer_sky_clear_flag_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Active
Lat,-32.22720000
Long,115.69940000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9255
Site Description,COLPOYS POINT
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Variable ID,␧
Data Classification,MET General
Sampling Rate (min),28.8097
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Ceilometer sky clear flag (),Decimal
QC,String
