Date,Depth,Data,QC
06-12-2010 00:00:00,0,7.1083,N
13-12-2010 00:00:00,0,7.1741,N
20-12-2010 00:00:00,0,7.1732,N
04-01-2011 00:00:00,0,7.0391,N
10-01-2011 00:00:00,0,6.8316,N
17-01-2011 00:00:00,0,6.8525,N
24-01-2011 00:00:00,0,6.7634,N
31-01-2011 00:00:00,0,6.7870,N
07-02-2011 00:00:00,0,6.5092,N
14-02-2011 00:00:00,0,6.1903,N
21-02-2011 00:00:00,0,6.9411,N
28-02-2011 00:00:00,0,6.9526,N
07-03-2011 00:00:00,0,6.5882,N
14-03-2011 00:00:00,0,6.5880,N
21-03-2011 00:00:00,0,6.9335,N
28-03-2011 00:00:00,0,7.0072,N
