Date,Depth,Data,QC
01-12-2003 00:00:00,0 - 9.3,0.0110,N
08-12-2003 00:00:00,0 - 9.3,0.0170,N
15-12-2003 00:00:00,0 - 9.3,0.0110,N
22-12-2003 00:00:00,0 - 9.3,0.0130,N
29-12-2003 00:00:00,0 - 9.3,0.0110,N
05-01-2004 00:00:00,0 - 9.3,0.0200,N
12-01-2004 00:00:00,0 - 9.3,0.0080,N
19-01-2004 00:00:00,0 - 9.3,0.0070,N
26-01-2004 00:00:00,0 - 9.3,0.0110,N
02-02-2004 00:00:00,0 - 9.3,0.0140,N
09-02-2004 00:00:00,0 - 9.3,0.0100,N
16-02-2004 00:00:00,0 - 9.3,0.0090,N
23-02-2004 00:00:00,0 - 9.3,0.0110,N
01-03-2004 00:00:00,0 - 9.3,0.0130,N
08-03-2004 00:00:00,0 - 9.3,0.0100,N
15-03-2004 00:00:00,0 - 9.3,0.0120,N
22-03-2004 00:00:00,0 - 9.3,0.0120,N
29-03-2004 00:00:00,0 - 9.3,0.0120,N
