Date,Depth,Data,QC
05-12-2011 00:00:00,0 - 9.3,0.4979,N
12-12-2011 00:00:00,0 - 9.3,0.7500,N
19-12-2011 00:00:00,0 - 9.3,0.4050,N
04-01-2012 00:00:00,0 - 9.3,0.6328,N
09-01-2012 00:00:00,0 - 9.3,0.4455,N
16-01-2012 00:00:00,0 - 9.3,0.5361,N
23-01-2012 00:00:00,0 - 9.3,0.7978,N
30-01-2012 00:00:00,0 - 9.3,0.9971,N
06-02-2012 00:00:00,0 - 9.3,1.1089,N
13-02-2012 00:00:00,0 - 9.3,0.9761,N
20-02-2012 00:00:00,0 - 9.3,1.3122,N
27-02-2012 00:00:00,0 - 9.3,1.7753,N
05-03-2012 00:00:00,0 - 9.3,0.7337,N
12-03-2012 00:00:00,0 - 9.3,0.5931,N
20-03-2012 00:00:00,0 - 9.3,2.1052,N
26-03-2012 00:00:00,0 - 9.3,1.9544,N
