Date,Depth,Data,QC
04-12-2006 00:00:00,0 - 9.3,0.0825,N
11-12-2006 00:00:00,0 - 9.3,0.0935,N
18-12-2006 00:00:00,0 - 9.3,0.0697,N
08-01-2007 00:00:00,0 - 9.3,0.0880,N
15-01-2007 00:00:00,0 - 9.3,0.0929,N
22-01-2007 00:00:00,0 - 9.3,0.0891,N
29-01-2007 00:00:00,0 - 9.3,0.0808,N
05-02-2007 00:00:00,0 - 9.3,0.0851,N
12-02-2007 00:00:00,0 - 9.3,0.0784,N
19-02-2007 00:00:00,0 - 9.3,0.1008,N
26-02-2007 00:00:00,0 - 9.3,0.0931,N
05-03-2007 00:00:00,0 - 9.3,0.0819,N
12-03-2007 00:00:00,0 - 9.3,0.1050,N
19-03-2007 00:00:00,0 - 9.3,0.0794,N
26-03-2007 00:00:00,0 - 9.3,0.0894,N
