Date,Depth,Data,QC
05-12-2011 00:00:00,14,7.2874,N
12-12-2011 00:00:00,14,7.1664,N
19-12-2011 00:00:00,14,6.8658,N
04-01-2012 00:00:00,14,6.6111,N
09-01-2012 00:00:00,14,5.8397,N
16-01-2012 00:00:00,14,6.7916,N
23-01-2012 00:00:00,14,5.7934,N
30-01-2012 00:00:00,14,6.6322,N
06-02-2012 00:00:00,14,5.5634,N
13-02-2012 00:00:00,14,5.0911,N
20-02-2012 00:00:00,14,6.1781,N
27-02-2012 00:00:00,14,6.1741,N
05-03-2012 00:00:00,14,5.6848,N
12-03-2012 00:00:00,14,6.1239,N
20-03-2012 00:00:00,14,6.6921,N
26-03-2012 00:00:00,14,6.9826,N
