Date,Depth,Data,QC
03-12-2007 00:00:00,0 - 14,0.0782,N
10-12-2007 00:00:00,0 - 14,0.0855,N
17-12-2007 00:00:00,0 - 14,0.0870,N
07-01-2008 00:00:00,0 - 14,0.1276,N
14-01-2008 00:00:00,0 - 14,0.0765,N
21-01-2008 00:00:00,0 - 14,0.1158,N
28-01-2008 00:00:00,0 - 14,0.0944,N
04-02-2008 00:00:00,0 - 14,0.1003,N
11-02-2008 00:00:00,0 - 14,0.1106,N
18-02-2008 00:00:00,0 - 14,0.1273,N
25-02-2008 00:00:00,0 - 14,0.0898,N
03-03-2008 00:00:00,0 - 14,0.0914,N
10-03-2008 00:00:00,0 - 14,0.0732,N
17-03-2008 00:00:00,0 - 14, NaN,N
31-03-2008 00:00:00,0 - 14,0.1237,N
