Date,Depth,Data,QC
05-12-2011 00:00:00,14,8.0970,N
12-12-2011 00:00:00,14,8.0480,N
19-12-2011 00:00:00,14,7.9490,N
04-01-2012 00:00:00,14,8.3620,N
09-01-2012 00:00:00,14,8.3860,N
16-01-2012 00:00:00,14,8.3540,N
23-01-2012 00:00:00,14,8.3070,N
30-01-2012 00:00:00,14,8.3310,N
06-02-2012 00:00:00,14,8.3060,N
13-02-2012 00:00:00,14,8.2820,N
20-02-2012 00:00:00,14,8.3210,N
27-02-2012 00:00:00,14,8.3100,N
05-03-2012 00:00:00,14,8.2970,N
12-03-2012 00:00:00,14,8.2630,N
20-03-2012 00:00:00,14,8.2250,N
26-03-2012 00:00:00,14,8.2330,N
