Date,Depth,Data,QC
01-12-2016 00:00:00,0 - 19.2,0.4000,N
09-12-2016 00:00:00,0 - 19.2,0.5000,N
16-12-2016 00:00:00,0 - 19.2,0.6000,N
23-12-2016 00:00:00,0 - 19.2,1.1000,N
09-01-2017 00:00:00,0 - 19.2,1.0000,N
16-01-2017 00:00:00,0 - 19.2,2.2000,N
23-01-2017 00:00:00,0 - 19.2,1.4000,N
30-01-2017 00:00:00,0 - 19.2,1.7000,N
06-02-2017 00:00:00,0 - 19.2,1.3000,N
13-02-2017 00:00:00,0 - 19.2,1.0000,N
20-02-2017 00:00:00,0 - 19.2,1.6000,N
27-02-2017 00:00:00,0 - 19.2,1.2000,N
06-03-2017 00:00:00,0 - 19.2,1.3000,N
13-03-2017 00:00:00,0 - 19.2,2.4000,N
20-03-2017 00:00:00,0 - 19.2,2.5000,N
27-03-2017 00:00:00,0 - 19.2,1.8000,N
