Date,Depth,Data,QC
03-12-2012 00:00:00,19.2,2.5819,N
10-12-2012 00:00:00,19.2,2.8277,N
17-12-2012 00:00:00,19.2,3.3642,N
24-12-2012 00:00:00,19.2,2.4423,N
07-01-2013 00:00:00,19.2,2.2548,N
13-01-2013 00:00:00,19.2,1.9401,N
21-01-2013 00:00:00,19.2,1.9668,N
30-01-2013 00:00:00,19.2,2.1174,N
04-02-2013 00:00:00,19.2,2.3686,N
11-02-2013 00:00:00,19.2,1.9088,N
18-02-2013 00:00:00,19.2,2.1788,N
25-02-2013 00:00:00,19.2,2.2808,N
04-03-2013 00:00:00,19.2,1.7774,N
11-03-2013 00:00:00,19.2,1.5406,N
18-03-2013 00:00:00,19.2,1.0379,N
25-03-2013 00:00:00,19.2,1.7862,N
