Date,Depth,Data,QC
02-12-2019 00:00:00,18,20.8030,N
09-12-2019 00:00:00,18,21.9735,N
16-12-2019 00:00:00,18,22.6133,N
23-12-2019 00:00:00,18,23.0897,N
06-01-2020 00:00:00,18,22.1502,N
13-01-2020 00:00:00,18,22.3454,N
20-01-2020 00:00:00,18,22.9150,N
28-01-2020 00:00:00,18,23.2243,N
03-02-2020 00:00:00,18,22.4820,N
10-02-2020 00:00:00,18,22.4535,N
17-02-2020 00:00:00,18,23.1966,N
24-02-2020 00:00:00,18,23.3381,N
02-03-2020 00:00:00,18,23.0947,N
09-03-2020 00:00:00,18,23.0617,N
16-03-2020 00:00:00,18,23.3340,N
30-03-2020 00:00:00,18,21.8216,N
