Date,Depth,Data,QC
02-12-2013 00:00:00,0 - 18,0.8800,N
09-12-2013 00:00:00,0 - 18,0.6900,N
16-12-2013 00:00:00,0 - 18,0.4900,N
23-12-2013 00:00:00,0 - 18,0.4200,N
06-01-2014 00:00:00,0 - 18,0.7300,N
13-01-2014 00:00:00,0 - 18,1.0500,N
20-01-2014 00:00:00,0 - 18,0.9900,N
28-01-2014 00:00:00,0 - 18,1.4400,N
03-02-2014 00:00:00,0 - 18,0.8500,N
10-02-2014 00:00:00,0 - 18,0.6200,N
17-02-2014 00:00:00,0 - 18,1.2500,N
24-02-2014 00:00:00,0 - 18,0.5400,N
03-03-2014 00:00:00,0 - 18,0.4600,N
10-03-2014 00:00:00,0 - 18,0.7600,N
17-03-2014 00:00:00,0 - 18,1.0800,N
24-03-2014 00:00:00,0 - 18,0.6000,N
