Date,Depth,Data,QC
02-12-2019 00:00:00,0,8.1920,N
09-12-2019 00:00:00,0,8.1720,N
16-12-2019 00:00:00,0,8.1040,N
23-12-2019 00:00:00,0,8.1510,N
06-01-2020 00:00:00,0,8.2140,N
13-01-2020 00:00:00,0, NaN,N
20-01-2020 00:00:00,0, NaN,N
28-01-2020 00:00:00,0, NaN,N
03-02-2020 00:00:00,0,8.2140,N
10-02-2020 00:00:00,0,8.1820,N
17-02-2020 00:00:00,0,8.1430,N
24-02-2020 00:00:00,0,8.1390,N
02-03-2020 00:00:00,0,8.1320,N
09-03-2020 00:00:00,0,8.1470,N
16-03-2020 00:00:00,0,8.1610,N
30-03-2020 00:00:00,0,8.1660,N
