Date,Depth,Data,QC
02-12-2019 00:00:00,0,0.2647,N
09-12-2019 00:00:00,0,0.6229,N
16-12-2019 00:00:00,0,0.1025,N
23-12-2019 00:00:00,0,0.2160,N
06-01-2020 00:00:00,0,0.3127,N
13-01-2020 00:00:00,0,0.3435,N
20-01-2020 00:00:00,0,0.7050,N
28-01-2020 00:00:00,0,0.2602,N
03-02-2020 00:00:00,0,0.4002,N
10-02-2020 00:00:00,0,0.5857,N
17-02-2020 00:00:00,0,0.7068,N
24-02-2020 00:00:00,0,0.3184,N
02-03-2020 00:00:00,0,0.6806,N
09-03-2020 00:00:00,0,0.1416,N
16-03-2020 00:00:00,0,0.0571,N
30-03-2020 00:00:00,0,0.6076,N
