Date,Depth,Data,QC
02-12-2019 00:00:00,10,1025.8642,N
09-12-2019 00:00:00,10,1025.6957,N
16-12-2019 00:00:00,10,1025.4483,N
23-12-2019 00:00:00,10,1025.3841,N
06-01-2020 00:00:00,10,1025.7248,N
13-01-2020 00:00:00,10,1026.0358,N
20-01-2020 00:00:00,10,1025.8652,N
28-01-2020 00:00:00,10,1025.8156,N
03-02-2020 00:00:00,10,1025.9509,N
10-02-2020 00:00:00,10,1025.8901,N
17-02-2020 00:00:00,10,1025.7619,N
24-02-2020 00:00:00,10,1025.7409,N
02-03-2020 00:00:00,10,1026.0425,N
09-03-2020 00:00:00,10,1025.9059,N
16-03-2020 00:00:00,10,1025.4874,N
30-03-2020 00:00:00,10,1025.9018,N
