Date,Depth,Data,QC
01-12-2015 00:00:00,20.4,8.1930,N
07-12-2015 00:00:00,20.4,8.3170,N
14-12-2015 00:00:00,20.4,8.1300,N
21-12-2015 00:00:00,20.4,8.1720,N
04-01-2016 00:00:00,20.4,8.2970,N
11-01-2016 00:00:00,20.4,8.1120,N
18-01-2016 00:00:00,20.4,8.1550,N
25-01-2016 00:00:00,20.4,8.1520,N
01-02-2016 00:00:00,20.4,8.1630,N
08-02-2016 00:00:00,20.4,8.2250,N
15-02-2016 00:00:00,20.4,8.2640,N
29-02-2016 00:00:00,20.4,8.3000,N
07-03-2016 00:00:00,20.4,8.2880,N
14-03-2016 00:00:00,20.4,8.2840,N
21-03-2016 00:00:00,20.4,8.2380,N
29-03-2016 00:00:00,20.4,8.1920,N
