Date,Depth,Data,QC
02-12-2019 00:00:00,20.9,102.6220,N
09-12-2019 00:00:00,20.9,97.3320,N
16-12-2019 00:00:00,20.9,104.8460,N
23-12-2019 00:00:00,20.9,92.5350,N
06-01-2020 00:00:00,20.9,90.8730,N
13-01-2020 00:00:00,20.9,96.9390,N
20-01-2020 00:00:00,20.9,92.5120,N
28-01-2020 00:00:00,20.9,95.6090,N
03-02-2020 00:00:00,20.9,96.1280,N
10-02-2020 00:00:00,20.9,92.6270,N
17-02-2020 00:00:00,20.9,97.7800,N
24-02-2020 00:00:00,20.9,96.6210,N
02-03-2020 00:00:00,20.9,95.9300,N
09-03-2020 00:00:00,20.9,97.3770,N
16-03-2020 00:00:00,20.9,91.3050,N
30-03-2020 00:00:00,20.9,78.0880,N
