Date,Depth,Data,QC
12-01-1993 00:00:00,0 - 18.9,0.0858,N
18-01-1993 00:00:00,0 - 18.9,0.1100,N
25-01-1993 00:00:00,0 - 18.9,0.1120,N
02-02-1993 00:00:00,0 - 18.9,0.1480,N
08-02-1993 00:00:00,0 - 18.9,0.1530,N
15-02-1993 00:00:00,0 - 18.9,0.1190,N
22-02-1993 00:00:00,0 - 18.9,0.0870,N
01-03-1993 00:00:00,0 - 18.9,0.1380,N
08-03-1993 00:00:00,0 - 18.9,0.1008,N
12-03-1993 00:00:00,0 - 18.9,0.1178,N
15-03-1993 00:00:00,0 - 18.9,0.1135,N
22-03-1993 00:00:00,0 - 18.9,0.1450,N
26-03-1993 00:00:00,0 - 18.9,0.1178,N
30-03-1993 00:00:00,0 - 18.9,0.0979,N
