Date,Depth,Data,QC
20-12-1984 00:00:00,0 - 18.9,0.0120,N
03-01-1985 00:00:00,0 - 18.9,0.0150,N
10-01-1985 00:00:00,0 - 18.9,0.0060,N
17-01-1985 00:00:00,0 - 18.9,0.0100,N
24-01-1985 00:00:00,0 - 18.9,0.0060,N
31-01-1985 00:00:00,0 - 18.9,0.0040,N
07-02-1985 00:00:00,0 - 18.9,0.0200,N
15-02-1985 00:00:00,0 - 18.9,0.0050,N
21-02-1985 00:00:00,0 - 18.9,0.0230,N
27-02-1985 00:00:00,0 - 18.9,0.0180,N
07-03-1985 00:00:00,0 - 18.9,0.0050,N
14-03-1985 00:00:00,0 - 18.9,0.0060,N
21-03-1985 00:00:00,0 - 18.9,0.0080,N
28-03-1985 00:00:00,0 - 18.9,0.0150,N
