Date,Depth,Data,QC
05-12-2001 00:00:00,18.9,7.8900,N
12-12-2001 00:00:00,18.9,8.2200,N
19-12-2001 00:00:00,18.9,8.0100,N
26-12-2001 00:00:00,18.9,8.0500,N
02-01-2002 00:00:00,18.9,7.6200,N
09-01-2002 00:00:00,18.9,7.1300,N
16-01-2002 00:00:00,18.9,7.8200,N
23-01-2002 00:00:00,18.9,8.0400,N
30-01-2002 00:00:00,18.9,6.0500,N
06-02-2002 00:00:00,18.9,6.9600,N
13-02-2002 00:00:00,18.9,6.6000,N
20-02-2002 00:00:00,18.9, NaN,N
27-02-2002 00:00:00,18.9,6.3500,N
06-03-2002 00:00:00,18.9,7.0700,N
13-03-2002 00:00:00,18.9,6.8800,N
20-03-2002 00:00:00,18.9,7.1100,N
27-03-2002 00:00:00,18.9,6.9500,N
