Date,Depth,Data,QC
02-12-2002 00:00:00,0 - 10.5,2.1000,N
09-12-2002 00:00:00,0 - 10.5,0.6000,N
16-12-0002 00:00:00,0 - 10.5,0.9000,N
23-12-0002 00:00:00,0 - 10.5,0.6000,N
30-12-0002 00:00:00,0 - 10.5,1.4000,N
06-01-2003 00:00:00,0 - 10.5,2.4000,N
13-01-0003 00:00:00,0 - 10.5,2.5000,N
20-01-0003 00:00:00,0 - 10.5,0.9000,N
27-01-0003 00:00:00,0 - 10.5,1.7000,N
03-02-2003 00:00:00,0 - 10.5,2.0000,N
10-02-2003 00:00:00,0 - 10.5,0.7000,N
17-02-0003 00:00:00,0 - 10.5,0.5000,N
24-02-0003 00:00:00,0 - 10.5,1.5000,N
03-03-2003 00:00:00,0 - 10.5,1.1000,N
10-03-2003 00:00:00,0 - 10.5,0.4000,N
17-03-0003 00:00:00,0 - 10.5,1.7000,N
24-03-0003 00:00:00,0 - 10.5,1.0000,N
31-03-0003 00:00:00,0 - 10.5,0.6000,N
