Date,Depth,Data,QC
01-12-2017 00:00:00,0 - 10.5, NaN,N
08-12-2017 00:00:00,0 - 10.5, NaN,N
15-12-2017 00:00:00,0 - 10.5, NaN,N
22-12-2017 00:00:00,0 - 10.5, NaN,N
05-01-2018 00:00:00,0 - 10.5, NaN,N
15-01-2018 00:00:00,0 - 10.5, NaN,N
22-01-2018 00:00:00,0 - 10.5, NaN,N
29-01-2018 00:00:00,0 - 10.5, NaN,N
05-02-2018 00:00:00,0 - 10.5, NaN,N
12-02-2018 00:00:00,0 - 10.5, NaN,N
19-02-2018 00:00:00,0 - 10.5, NaN,N
26-02-2018 00:00:00,0 - 10.5, NaN,N
05-03-2018 00:00:00,0 - 10.5, NaN,N
12-03-2018 00:00:00,0 - 10.5, NaN,N
19-03-2018 00:00:00,0 - 10.5, NaN,N
26-03-2018 00:00:00,0 - 10.5, NaN,N
