Date,Depth,Data,QC
05-12-2011 00:00:00,0,100.9382,N
12-12-2011 00:00:00,0,100.7926,N
19-12-2011 00:00:00,0,103.1069,N
04-01-2012 00:00:00,0,99.5138,N
09-01-2012 00:00:00,0,99.3645,N
16-01-2012 00:00:00,0,98.7337,N
23-01-2012 00:00:00,0,98.8800,N
30-01-2012 00:00:00,0,98.8174,N
06-02-2012 00:00:00,0,97.5448,N
13-02-2012 00:00:00,0,101.1481,N
20-02-2012 00:00:00,0,98.6301,N
27-02-2012 00:00:00,0,98.0831,N
05-03-2012 00:00:00,0,103.2976,N
12-03-2012 00:00:00,0,103.8819,N
20-03-2012 00:00:00,0,98.5687,N
26-03-2012 00:00:00,0,100.8060,N
