Date,Depth,Data,QC
05-12-2001 00:00:00,0,35.3100,N
12-12-2001 00:00:00,0,35.8500,N
19-12-2001 00:00:00,0,35.8600,N
26-12-2001 00:00:00,0,36.0300,N
02-01-2002 00:00:00,0,36.0800,N
09-01-2002 00:00:00,0,36.2800,N
16-01-2002 00:00:00,0,36.3700,N
23-01-2002 00:00:00,0,36.6100,N
30-01-2002 00:00:00,0,36.6900,N
06-02-2002 00:00:00,0,36.8800,N
13-02-2002 00:00:00,0,36.3700,N
20-02-2002 00:00:00,0,36.8900,N
27-02-2002 00:00:00,0,35.9400,N
06-03-2002 00:00:00,0,37.0700,N
13-03-2002 00:00:00,0,37.1000,N
20-03-2002 00:00:00,0,36.7200,N
27-03-2002 00:00:00,0,36.8600,N
