Date,Depth,Data,QC
02-12-2019 00:00:00,0 - 10.5,6.7000,N
09-12-2019 00:00:00,0 - 10.5,6.3000,N
16-12-2019 00:00:00,0 - 10.5,10.0000,N
23-12-2019 00:00:00,0 - 10.5,6.5000,N
06-01-2020 00:00:00,0 - 10.5,8.2000,N
13-01-2020 00:00:00,0 - 10.5,4.8000,N
20-01-2020 00:00:00,0 - 10.5,6.5000,N
28-01-2020 00:00:00,0 - 10.5,8.3000,N
03-02-2020 00:00:00,0 - 10.5,5.1000,N
10-02-2020 00:00:00,0 - 10.5,4.9000,N
17-02-2020 00:00:00,0 - 10.5,5.3000,N
24-02-2020 00:00:00,0 - 10.5,9.5000,N
02-03-2020 00:00:00,0 - 10.5,7.5000,N
09-03-2020 00:00:00,0 - 10.5,8.0000,N
16-03-2020 00:00:00,0 - 10.5,9.0000,N
30-03-2020 00:00:00,0 - 10.5,6.5000,N
