Date,Depth,Data,QC
01-12-1999 00:00:00,0 - 10.5,0.0123,N
08-12-1999 00:00:00,0 - 10.5,0.0147,N
15-12-1999 00:00:00,0 - 10.5,0.0116,N
22-12-1999 00:00:00,0 - 10.5,0.0118,N
07-01-2000 00:00:00,0 - 10.5,0.0146,N
12-01-2000 00:00:00,0 - 10.5,0.0135,N
19-01-2000 00:00:00,0 - 10.5,0.0154,N
26-01-2000 00:00:00,0 - 10.5,0.0127,N
02-02-2000 00:00:00,0 - 10.5,0.0116,N
09-02-2000 00:00:00,0 - 10.5,0.0085,N
16-02-2000 00:00:00,0 - 10.5,0.0096,N
23-02-2000 00:00:00,0 - 10.5,0.0087,N
01-03-2000 00:00:00,0 - 10.5,0.0097,N
08-03-2000 00:00:00,0 - 10.5,0.0121,N
16-03-2000 00:00:00,0 - 10.5,0.0091,N
22-03-2000 00:00:00,0 - 10.5,0.0126,N
29-03-2000 00:00:00,0 - 10.5,0.0129,N
