Date,Depth,Data,QC
03-12-2012 00:00:00,10.5,1.4273,N
10-12-2012 00:00:00,10.5,0.9601,N
17-12-2012 00:00:00,10.5,2.4568,N
24-12-2012 00:00:00,10.5,1.5629,N
07-01-2013 00:00:00,10.5,1.6920,N
13-01-2013 00:00:00,10.5,1.3271,N
21-01-2013 00:00:00,10.5,1.1866,N
30-01-2013 00:00:00,10.5,1.1089,N
04-02-2013 00:00:00,10.5,2.9107,N
11-02-2013 00:00:00,10.5,1.4287,N
18-02-2013 00:00:00,10.5,1.3418,N
25-02-2013 00:00:00,10.5,1.1679,N
04-03-2013 00:00:00,10.5,1.6138,N
11-03-2013 00:00:00,10.5,0.8950,N
18-03-2013 00:00:00,10.5,1.5034,N
25-03-2013 00:00:00,10.5,1.9228,N
