Date,Depth,Data,QC
01-12-2016 00:00:00,0,0.7172,N
09-12-2016 00:00:00,0,0.6256,N
16-12-2016 00:00:00,0,0.3775,N
23-12-2016 00:00:00,0,0.6006,N
09-01-2017 00:00:00,0,0.7345,N
16-01-2017 00:00:00,0,0.9450,N
23-01-2017 00:00:00,0,1.2045,N
30-01-2017 00:00:00,0,0.9604,N
06-02-2017 00:00:00,0,0.6668,N
13-02-2017 00:00:00,0,0.8193,N
20-02-2017 00:00:00,0,3.4432,N
27-02-2017 00:00:00,0,0.9941,N
06-03-2017 00:00:00,0,0.5371,N
13-03-2017 00:00:00,0,0.6623,N
20-03-2017 00:00:00,0,1.1125,N
27-03-2017 00:00:00,0,0.8893,N
