Date,Depth,Data,QC
04-12-2014 00:00:00,10.5,8.1810,N
08-12-2014 00:00:00,10.5,8.2540,N
15-12-2014 00:00:00,10.5,8.3270,N
22-12-2014 00:00:00,10.5,8.2770,N
05-01-2015 00:00:00,10.5,8.3100,N
12-01-2015 00:00:00,10.5,8.3350,N
19-01-2015 00:00:00,10.5,8.3260,N
27-01-2015 00:00:00,10.5,8.3440,N
02-02-2015 00:00:00,10.5,8.2880,N
09-02-2015 00:00:00,10.5,8.2800,N
16-02-2015 00:00:00,10.5, NaN,N
23-02-2015 00:00:00,10.5,8.2690,N
02-03-2015 00:00:00,10.5,8.3180,N
09-03-2015 00:00:00,10.5,8.3760,N
16-03-2015 00:00:00,10.5,8.3620,N
23-03-2015 00:00:00,10.5,8.2760,N
