Date,Depth,Data,QC
04-12-2014 00:00:00,10.7,0.4709,N
08-12-2014 00:00:00,10.7,0.4094,N
15-12-2014 00:00:00,10.7,0.5862,N
22-12-2014 00:00:00,10.7,0.3690,N
05-01-2015 00:00:00,10.7,0.4759,N
12-01-2015 00:00:00,10.7,0.2664,N
19-01-2015 00:00:00,10.7,0.3631,N
27-01-2015 00:00:00,10.7,0.1447,N
02-02-2015 00:00:00,10.7,1.1565,N
09-02-2015 00:00:00,10.7,0.7356,N
16-02-2015 00:00:00,10.7,0.4993,N
23-02-2015 00:00:00,10.7,0.5518,N
02-03-2015 00:00:00,10.7,0.4072,N
09-03-2015 00:00:00,10.7,0.8950,N
16-03-2015 00:00:00,10.7,0.2958,N
23-03-2015 00:00:00,10.7,0.7535,N
