Date,Depth,Data,QC
02-12-2019 00:00:00,0,0.7753,N
09-12-2019 00:00:00,0,1.0347,N
16-12-2019 00:00:00,0,0.7018,N
23-12-2019 00:00:00,0,1.0759,N
06-01-2020 00:00:00,0,0.7361,N
13-01-2020 00:00:00,0,1.1022,N
20-01-2020 00:00:00,0,1.1325,N
28-01-2020 00:00:00,0,0.7147,N
03-02-2020 00:00:00,0,0.9478,N
10-02-2020 00:00:00,0,1.2961,N
17-02-2020 00:00:00,0,1.4975,N
24-02-2020 00:00:00,0,1.2140,N
02-03-2020 00:00:00,0,1.2739,N
09-03-2020 00:00:00,0,1.4533,N
16-03-2020 00:00:00,0,0.9791,N
30-03-2020 00:00:00,0,1.0446,N
