Date,Depth,Data,QC
01-12-1999 00:00:00,0,7.3700,N
08-12-1999 00:00:00,0,7.4700,N
15-12-1999 00:00:00,0,7.6200,N
22-12-1999 00:00:00,0,8.3000,N
07-01-2000 00:00:00,0,6.9000,N
12-01-2000 00:00:00,0,6.9000,N
19-01-2000 00:00:00,0,6.7600,N
26-01-2000 00:00:00,0,7.4300,N
02-02-2000 00:00:00,0,7.1600,N
09-02-2000 00:00:00,0,7.2200,N
16-02-2000 00:00:00,0,7.1700,N
23-02-2000 00:00:00,0,6.9400,N
01-03-2000 00:00:00,0,7.1200,N
08-03-2000 00:00:00,0,7.3400,N
16-03-2000 00:00:00,0,6.9300,N
22-03-2000 00:00:00,0,6.9400,N
29-03-2000 00:00:00,0,7.2000,N
