Date,Depth,Data,QC
05-12-2005 00:00:00,0 - 19.9,0.1200,N
12-12-2005 00:00:00,0 - 19.9,0.1200,N
19-12-2005 00:00:00,0 - 19.9,0.0900,N
02-01-2006 00:00:00,0 - 19.9,0.1100,N
09-01-2006 00:00:00,0 - 19.9,0.1200,N
16-01-2006 00:00:00,0 - 19.9,0.1200,N
23-01-2006 00:00:00,0 - 19.9,0.1200,N
30-01-2006 00:00:00,0 - 19.9,0.1100,N
06-02-2006 00:00:00,0 - 19.9,0.1100,N
13-02-2006 00:00:00,0 - 19.9,0.1200,N
20-02-2006 00:00:00,0 - 19.9,0.1200,N
27-02-2006 00:00:00,0 - 19.9,0.1200,N
06-03-2006 00:00:00,0 - 19.9,0.1100,N
13-03-2006 00:00:00,0 - 19.9,0.0800,N
20-03-2006 00:00:00,0 - 19.9,0.1100,N
27-03-2006 00:00:00,0 - 19.9,0.1200,N
