Date,Depth,Data,QC
01-12-2016 00:00:00,16.5,96.7710,N
09-12-2016 00:00:00,16.5,96.9890,N
16-12-2016 00:00:00,16.5,96.3360,N
23-12-2016 00:00:00,16.5,96.7060,N
09-01-2017 00:00:00,16.5,91.7060,N
16-01-2017 00:00:00,16.5,96.5570,N
23-01-2017 00:00:00,16.5,86.2180,N
30-01-2017 00:00:00,16.5,76.3050,N
06-02-2017 00:00:00,16.5,89.7910,N
13-02-2017 00:00:00,16.5,72.9860,N
20-02-2017 00:00:00,16.5,85.9380,N
27-02-2017 00:00:00,16.5,81.7570,N
06-03-2017 00:00:00,16.5,65.7360,N
13-03-2017 00:00:00,16.5,87.0440,N
20-03-2017 00:00:00,16.5,92.2040,N
27-03-2017 00:00:00,16.5,88.2010,N
