Date,Depth,Data,QC
02-12-2019 00:00:00,0,0.2582,N
09-12-2019 00:00:00,0,0.7408,N
16-12-2019 00:00:00,0,0.2749,N
23-12-2019 00:00:00,0,0.3475,N
06-01-2020 00:00:00,0,0.3483,N
13-01-2020 00:00:00,0,0.5628,N
20-01-2020 00:00:00,0,0.8782,N
28-01-2020 00:00:00,0,0.1084,N
03-02-2020 00:00:00,0,0.4527,N
10-02-2020 00:00:00,0,0.6664,N
17-02-2020 00:00:00,0,1.7773,N
24-02-2020 00:00:00,0,0.6072,N
02-03-2020 00:00:00,0,0.7255,N
09-03-2020 00:00:00,0,0.3556,N
16-03-2020 00:00:00,0,0.2826,N
30-03-2020 00:00:00,0,0.5736,N
