Date,Depth,Data,QC
01-12-2016 00:00:00,0 - 16.5,0.0703,N
09-12-2016 00:00:00,0 - 16.5,0.0691,N
16-12-2016 00:00:00,0 - 16.5,0.1090,N
23-12-2016 00:00:00,0 - 16.5,0.1049,N
09-01-2017 00:00:00,0 - 16.5,0.1350,N
16-01-2017 00:00:00,0 - 16.5,0.1171,N
23-01-2017 00:00:00,0 - 16.5,0.1434,N
30-01-2017 00:00:00,0 - 16.5,0.1360,N
06-02-2017 00:00:00,0 - 16.5,0.1349,N
13-02-2017 00:00:00,0 - 16.5,0.0969,N
20-02-2017 00:00:00,0 - 16.5,0.0872,N
27-02-2017 00:00:00,0 - 16.5,0.1068,N
06-03-2017 00:00:00,0 - 16.5,0.0804,N
13-03-2017 00:00:00,0 - 16.5,0.1445,N
20-03-2017 00:00:00,0 - 16.5,0.1766,N
27-03-2017 00:00:00,0 - 16.5,0.1768,N
