Date,Depth,Data,QC
24-11-1982 00:00:00,0 - 13,0.1920,N
01-12-1982 00:00:00,0 - 13,0.4240,N
08-12-1982 00:00:00,0 - 13,0.3300,N
15-12-1982 00:00:00,0 - 13,0.4580,N
23-12-1982 00:00:00,0 - 13,0.6980,N
30-12-1982 00:00:00,0 - 13,0.3360,N
05-01-1983 00:00:00,0 - 13,1.0010,N
12-01-1983 00:00:00,0 - 13,0.2400,N
19-01-1983 00:00:00,0 - 13,0.4150,N
26-01-1983 00:00:00,0 - 13,0.2900,N
04-02-1983 00:00:00,0 - 13,0.3060,N
09-02-1983 00:00:00,0 - 13,0.5110,N
16-02-1983 00:00:00,0 - 13,0.6160,N
23-02-1983 00:00:00,0 - 13,0.5270,N
