Date,Depth,Data,QC
21-12-1989 00:00:00,0 - 13,0.0360,N
05-01-1990 00:00:00,0 - 13,0.0200,N
11-01-1990 00:00:00,0 - 13,0.0320,N
18-01-1990 00:00:00,0 - 13,0.0240,N
24-01-1990 00:00:00,0 - 13,0.0370,N
10-02-1990 00:00:00,0 - 13,0.0280,N
07-02-1990 00:00:00,0 - 13,0.0260,N
16-02-1990 00:00:00,0 - 13,0.0280,N
23-02-1990 00:00:00,0 - 13,0.0140,N
28-02-1990 00:00:00,0 - 13,0.0220,N
08-03-1990 00:00:00,0 - 13,0.0350,N
14-03-1990 00:00:00,0 - 13,0.0370,N
19-03-1990 00:00:00,0 - 13,0.0320,N
29-03-1990 00:00:00,0 - 13,0.0560,N
