Date,Depth,Data,QC
18-12-1986 00:00:00,0 - 13,0.0280,N
08-01-1987 00:00:00,0 - 13,0.0220,N
21-01-1987 00:00:00,0 - 13,0.0170,N
28-01-1987 00:00:00,0 - 13,0.0310,N
11-02-1987 00:00:00,0 - 13,0.0360,N
16-02-1987 00:00:00,0 - 13,0.0240,N
19-02-1987 00:00:00,0 - 13,0.0150,N
25-02-1987 00:00:00,0 - 13,0.0490,N
04-03-1987 00:00:00,0 - 13,0.0380,N
19-03-1987 00:00:00,0 - 13,0.0450,N
23-03-1987 00:00:00,0 - 13,0.0350,N
26-03-1987 00:00:00,0 - 13,0.0330,N
30-03-1987 00:00:00,0 - 13,0.1270,N
02-04-1987 00:00:00,0 - 13,0.2050,N
