Date,Depth,Data,QC
05-12-2011 00:00:00,0,1024.7161,N
12-12-2011 00:00:00,0,1024.7288,N
19-12-2011 00:00:00,0,1024.4862,N
04-01-2012 00:00:00,0,1024.4741,N
09-01-2012 00:00:00,0,1024.5681,N
16-01-2012 00:00:00,0,1024.2283,N
23-01-2012 00:00:00,0,1024.1148,N
30-01-2012 00:00:00,0,1024.3383,N
06-02-2012 00:00:00,0,1024.5698,N
13-02-2012 00:00:00,0,1024.4819,N
20-02-2012 00:00:00,0,1024.5267,N
27-02-2012 00:00:00,0,1024.6560,N
05-03-2012 00:00:00,0,1024.7617,N
12-03-2012 00:00:00,0,1024.4880,N
20-03-2012 00:00:00,0,1025.0864,N
26-03-2012 00:00:00,0,1025.3020,N
