Date,Depth,Data,QC
02-12-1998 00:00:00,0 - 13,-0.1313,N
09-12-1998 00:00:00,0 - 13,-0.0939,N
16-12-1998 00:00:00,0 - 13,-0.1373,N
23-12-1998 00:00:00,0 - 13,-0.1373,N
06-01-1999 00:00:00,0 - 13,-0.1374,N
13-01-1999 00:00:00,0 - 13,-0.0832,N
20-01-1999 00:00:00,0 - 13,-0.1301,N
27-01-1999 00:00:00,0 - 13,-0.0910,N
03-02-1999 00:00:00,0 - 13,-0.1313,N
10-02-1999 00:00:00,0 - 13,-0.1153,N
17-02-1999 00:00:00,0 - 13,-0.1450,N
24-02-1999 00:00:00,0 - 13,-0.1395,N
03-03-1999 00:00:00,0 - 13,-0.1395,N
10-03-1999 00:00:00,0 - 13,-0.1734,N
17-03-1999 00:00:00,0 - 13,-0.1125,N
24-03-1999 00:00:00,0 - 13,-0.1373,N
31-03-1999 00:00:00,0 - 13,-0.1441,N
20-01-1999 00:00:00,0 - 13,-0.1097,N
