Date,Depth,Data,QC
01-12-2000 00:00:00,0 - 18,0.0066,N
08-12-2000 00:00:00,0 - 18,0.0066,N
15-12-2000 00:00:00,0 - 18,0.0064,N
22-12-2000 00:00:00,0 - 18,0.0060,N
08-01-2001 00:00:00,0 - 18,0.0074,N
12-01-2001 00:00:00,0 - 18,0.0062,N
19-01-2001 00:00:00,0 - 18,0.0068,N
25-01-2001 00:00:00,0 - 18,0.0059,N
01-02-2001 00:00:00,0 - 18,0.0062,N
09-02-2001 00:00:00,0 - 18,0.0071,N
16-02-2001 00:00:00,0 - 18,0.0076,N
23-02-2001 00:00:00,0 - 18,0.0074,N
02-03-2001 00:00:00,0 - 18,0.0074,N
09-03-2001 00:00:00,0 - 18,0.0069,N
16-03-2001 00:00:00,0 - 18,0.0072,N
31-03-2001 00:00:00,0 - 18,0.0060,N
23-03-2001 00:00:00,0 - 18,0.0059,N
