Date,Depth,Data,QC
01-12-2000 00:00:00,0 - 18,0.0070,N
08-12-2000 00:00:00,0 - 18,0.0042,N
15-12-2000 00:00:00,0 - 18,0.0076,N
22-12-2000 00:00:00,0 - 18,0.0051,N
08-01-2001 00:00:00,0 - 18,0.0146,N
12-01-2001 00:00:00,0 - 18,0.0057,N
19-01-2001 00:00:00,0 - 18,0.0109,N
25-01-2001 00:00:00,0 - 18,0.0089,N
01-02-2001 00:00:00,0 - 18,0.0060,N
09-02-2001 00:00:00,0 - 18,0.0066,N
16-02-2001 00:00:00,0 - 18,0.0041,N
23-02-2001 00:00:00,0 - 18,0.0071,N
02-03-2001 00:00:00,0 - 18,0.0132,N
09-03-2001 00:00:00,0 - 18,0.0088,N
16-03-2001 00:00:00,0 - 18,0.0081,N
31-03-2001 00:00:00,0 - 18,0.0050,N
23-03-2001 00:00:00,0 - 18,0.0052,N
