Date,Depth,Data,QC
01-12-2000 00:00:00,0,35.5800,N
08-12-2000 00:00:00,0,35.8400,N
15-12-2000 00:00:00,0,36.1000,N
22-12-2000 00:00:00,0,35.6800,N
08-01-2001 00:00:00,0,35.5400,N
12-01-2001 00:00:00,0,36.0900,N
19-01-2001 00:00:00,0,36.2100,N
25-01-2001 00:00:00,0,36.4500,N
01-02-2001 00:00:00,0,35.9300,N
09-02-2001 00:00:00,0,35.9800,N
16-02-2001 00:00:00,0,36.1300,N
23-02-2001 00:00:00,0,36.1000,N
02-03-2001 00:00:00,0,36.2000,N
09-03-2001 00:00:00,0,36.2300,N
16-03-2001 00:00:00,0,36.3700,N
31-03-2001 00:00:00,0,36.4700,N
23-03-2001 00:00:00,0,36.4100,N
