Date,Depth,Data,QC
01-12-2000 00:00:00,0 - 18,0.0123,N
08-12-2000 00:00:00,0 - 18,0.0113,N
15-12-2000 00:00:00,0 - 18,0.0129,N
22-12-2000 00:00:00,0 - 18,0.0117,N
08-01-2001 00:00:00,0 - 18,0.0108,N
12-01-2001 00:00:00,0 - 18,0.0141,N
19-01-2001 00:00:00,0 - 18,0.0192,N
25-01-2001 00:00:00,0 - 18,0.0147,N
01-02-2001 00:00:00,0 - 18,0.0135,N
09-02-2001 00:00:00,0 - 18,0.0113,N
16-02-2001 00:00:00,0 - 18,0.0050,N
23-02-2001 00:00:00,0 - 18,0.0078,N
02-03-2001 00:00:00,0 - 18,0.0138,N
09-03-2001 00:00:00,0 - 18,0.0175,N
16-03-2001 00:00:00,0 - 18,0.0082,N
31-03-2001 00:00:00,0 - 18,0.0110,N
23-03-2001 00:00:00,0 - 18,0.0097,N
