Date,Depth,Data,QC
01-12-1999 00:00:00,0 - 18,0.1469,N
08-12-1999 00:00:00,0 - 18,0.1200,N
15-12-1999 00:00:00,0 - 18,0.1560,N
22-12-1999 00:00:00,0 - 18,0.1490,N
07-01-2000 00:00:00,0 - 18,0.2120,N
12-01-2000 00:00:00,0 - 18,0.1517,N
19-01-2000 00:00:00,0 - 18,0.1452,N
26-01-2000 00:00:00,0 - 18,0.1341,N
02-02-2000 00:00:00,0 - 18,0.1960,N
09-02-2000 00:00:00,0 - 18,0.1546,N
16-02-2000 00:00:00,0 - 18,0.1619,N
23-02-2000 00:00:00,0 - 18,0.1528,N
01-03-2000 00:00:00,0 - 18,0.1354,N
08-03-2000 00:00:00,0 - 18,0.1528,N
16-03-2000 00:00:00,0 - 18,0.1493,N
22-03-2000 00:00:00,0 - 18,0.1508,N
29-03-2000 00:00:00,0 - 18,0.1475,N
