Date,Depth,Data,QC
01-12-1999 00:00:00,0 - 18,-0.1211,N
08-12-1999 00:00:00,0 - 18,-0.1088,N
15-12-1999 00:00:00,0 - 18,-0.1211,N
22-12-1999 00:00:00,0 - 18,-0.1166,N
07-01-2000 00:00:00,0 - 18,-0.1239,N
12-01-2000 00:00:00,0 - 18,-0.1166,N
19-01-2000 00:00:00,0 - 18, NaN,N
26-01-2000 00:00:00,0 - 18,-0.0965,N
02-02-2000 00:00:00,0 - 18,-0.1520,N
09-02-2000 00:00:00,0 - 18,-0.1088,N
16-02-2000 00:00:00,0 - 18,-0.0959,N
23-02-2000 00:00:00,0 - 18,-0.0989,N
01-03-2000 00:00:00,0 - 18,-0.1166,N
08-03-2000 00:00:00,0 - 18,-0.0971,N
16-03-2000 00:00:00,0 - 18,-0.1166,N
22-03-2000 00:00:00,0 - 18,-0.0989,N
29-03-2000 00:00:00,0 - 18,-0.0959,N
