Date,Depth,Data,QC
05-12-2011 00:00:00,0, NaN,N
12-12-2011 00:00:00,0, NaN,N
19-12-2011 00:00:00,0,104.1395,N
04-01-2012 00:00:00,0,103.3542,N
09-01-2012 00:00:00,0,97.9943,N
16-01-2012 00:00:00,0,102.0361,N
23-01-2012 00:00:00,0,101.4936,N
30-01-2012 00:00:00,0,101.1505,N
06-02-2012 00:00:00,0,98.5118,N
13-02-2012 00:00:00,0,107.2093,N
20-02-2012 00:00:00,0,101.7588,N
27-02-2012 00:00:00,0,100.1243,N
05-03-2012 00:00:00,0,99.2491,N
12-03-2012 00:00:00,0, NaN,N
20-03-2012 00:00:00,0,99.2795,N
26-03-2012 00:00:00,0,100.1819,N
