Date,Depth,Data,QC
03-12-2007 00:00:00,15, NaN,N
10-12-2007 00:00:00,15,20.3700,N
17-12-2007 00:00:00,15,19.9800,N
07-01-2008 00:00:00,15,22.0800,N
14-01-2008 00:00:00,15,22.3900,N
21-01-2008 00:00:00,15,23.0900,N
28-01-2008 00:00:00,15,23.6100,N
04-02-2008 00:00:00,15,24.2000,N
11-02-2008 00:00:00,15,24.1400,N
18-02-2008 00:00:00,15,23.8300,N
25-02-2008 00:00:00,15,22.4400,N
03-03-2008 00:00:00,15,23.1800,N
10-03-2008 00:00:00,15,23.0700,N
17-03-2008 00:00:00,15,22.7800,N
31-03-2008 00:00:00,15,21.2000,N
