Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_G1_Temperature_Bottom_2008_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.229518181
Long,115.697969306
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,G1
Site Description,Changed position from 2004/05 now G1 above
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00007
Data Classification,WQ Grab
Sampling Rate (min),12240.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Temperature (^{\circ}C)
QC,String
