Date,Depth,Data,QC
05-12-2011 00:00:00,15, NaN,N
12-12-2011 00:00:00,15, NaN,N
19-12-2011 00:00:00,15,1024.7007,N
04-01-2012 00:00:00,15,1024.5007,N
09-01-2012 00:00:00,15,1024.7222,N
16-01-2012 00:00:00,15,1024.4650,N
23-01-2012 00:00:00,15,1024.3612,N
30-01-2012 00:00:00,15,1024.2788,N
06-02-2012 00:00:00,15,1024.8201,N
13-02-2012 00:00:00,15,1024.5744,N
20-02-2012 00:00:00,15,1024.6151,N
27-02-2012 00:00:00,15,1024.7680,N
05-03-2012 00:00:00,15,1025.0391,N
12-03-2012 00:00:00,15, NaN,N
20-03-2012 00:00:00,15,1025.1547,N
26-03-2012 00:00:00,15,1025.3186,N
