Date,Depth,Data,QC
05-12-2011 00:00:00,15, NaN,N
12-12-2011 00:00:00,15, NaN,N
19-12-2011 00:00:00,15,1.3337,N
04-01-2012 00:00:00,15,1.7543,N
09-01-2012 00:00:00,15,1.9327,N
16-01-2012 00:00:00,15,8.1569,N
23-01-2012 00:00:00,15,6.0764,N
30-01-2012 00:00:00,15,2.0875,N
06-02-2012 00:00:00,15,2.1474,N
13-02-2012 00:00:00,15,2.4325,N
20-02-2012 00:00:00,15,3.1947,N
27-02-2012 00:00:00,15,2.6352,N
05-03-2012 00:00:00,15,2.7696,N
12-03-2012 00:00:00,15, NaN,N
20-03-2012 00:00:00,15,3.7318,N
26-03-2012 00:00:00,15,2.3543,N
