Date,Depth,Data,QC
01-12-2003 00:00:00,0 - 15,0.0765,N
08-12-2003 00:00:00,0 - 15,0.1108,N
15-12-2003 00:00:00,0 - 15,0.0951,N
22-12-2003 00:00:00,0 - 15,0.1001,N
29-12-2003 00:00:00,0 - 15, NaN,N
05-01-2004 00:00:00,0 - 15,0.0980,N
12-01-2004 00:00:00,0 - 15,0.0793,N
19-01-2004 00:00:00,0 - 15,0.1177,N
26-01-2004 00:00:00,0 - 15,0.0739,N
02-02-2004 00:00:00,0 - 15,0.1059,N
09-02-2004 00:00:00,0 - 15,0.0699,N
16-02-2004 00:00:00,0 - 15,0.0991,N
23-02-2004 00:00:00,0 - 15,0.0869,N
01-03-2004 00:00:00,0 - 15,0.0909,N
08-03-2004 00:00:00,0 - 15, NaN,N
15-03-2004 00:00:00,0 - 15,0.0813,N
22-03-2004 00:00:00,0 - 15,0.0708,N
29-03-2004 00:00:00,0 - 15,0.1247,N
