Date,Depth,Data,QC
03-12-2007 00:00:00,10.2,36.7000,N
10-12-2007 00:00:00,10.2,36.1300,N
17-12-2007 00:00:00,10.2,36.1300,N
07-01-2008 00:00:00,10.2,36.4600,N
14-01-2008 00:00:00,10.2,37.0700,N
21-01-2008 00:00:00,10.2,37.1900,N
28-01-2008 00:00:00,10.2,37.0100,N
04-02-2008 00:00:00,10.2,37.0800,N
11-02-2008 00:00:00,10.2,37.1000,N
18-02-2008 00:00:00,10.2,36.9200,N
25-02-2008 00:00:00,10.2,37.1800,N
03-03-2008 00:00:00,10.2,37.1200,N
10-03-2008 00:00:00,10.2,37.4600,N
17-03-2008 00:00:00,10.2,37.1300,N
31-03-2008 00:00:00,10.2,37.1000,N
