Date,Depth,Data,QC
05-12-2011 00:00:00,13.1,0.1984,N
12-12-2011 00:00:00,13.1,0.1833,N
19-12-2011 00:00:00,13.1,0.0465,N
04-01-2012 00:00:00,13.1,0.4317,N
09-01-2012 00:00:00,13.1,0.4428,N
16-01-2012 00:00:00,13.1,0.6453,N
23-01-2012 00:00:00,13.1,0.9366,N
30-01-2012 00:00:00,13.1,0.3824,N
06-02-2012 00:00:00,13.1,0.3163,N
13-02-2012 00:00:00,13.1,0.4037,N
20-02-2012 00:00:00,13.1,0.3753,N
27-02-2012 00:00:00,13.1,0.5808,N
05-03-2012 00:00:00,13.1,0.3347,N
12-03-2012 00:00:00,13.1,0.8520,N
20-03-2012 00:00:00,13.1,1.1266,N
26-03-2012 00:00:00,13.1,0.4952,N
