Date,Depth,Data,QC
07-12-2009 00:00:00,0 - 1.3,1.6000,N
14-12-2009 00:00:00,0 - 1.3,1.3000,N
21-12-2009 00:00:00,0 - 1.3,1.6000,N
04-01-2010 00:00:00,0 - 1.3,1.3000,N
11-01-2010 00:00:00,0 - 1.3,3.3000,N
18-01-2010 00:00:00,0 - 1.3,3.6000,N
25-01-2010 00:00:00,0 - 1.3,1.7000,N
01-02-2010 00:00:00,0 - 1.3,2.1000,N
08-02-2010 00:00:00,0 - 1.3,1.0000,N
15-02-2010 00:00:00,0 - 1.3,1.7000,N
22-02-2010 00:00:00,0 - 1.3,0.6000,N
02-03-2010 00:00:00,0 - 1.3,1.9000,N
08-03-2010 00:00:00,0 - 1.3,0.7000,N
15-03-2010 00:00:00,0 - 1.3,2.1000,N
22-03-2010 00:00:00,0 - 1.3,1.8000,N
29-03-2010 00:00:00,0 - 1.3,1.3000,N
