Date,Depth,Data,QC
02-12-2019 00:00:00,0,7.9512,N
09-12-2019 00:00:00,0,7.3582,N
16-12-2019 00:00:00,0,7.3067,N
23-12-2019 00:00:00,0,6.5455,N
06-01-2020 00:00:00,0,7.3682,N
13-01-2020 00:00:00,0,6.7101,N
20-01-2020 00:00:00,0,7.4718,N
28-01-2020 00:00:00,0,7.2821,N
03-02-2020 00:00:00,0,6.9903,N
10-02-2020 00:00:00,0,7.4034,N
17-02-2020 00:00:00,0,7.1429,N
24-02-2020 00:00:00,0,6.3271,N
02-03-2020 00:00:00,0,7.5721,N
09-03-2020 00:00:00,0,5.8144,N
16-03-2020 00:00:00,0,5.5272,N
30-03-2020 00:00:00,0,6.0241,N
