Date,Depth,Data,QC
03-12-2018 00:00:00,0 - 1.3,0.1000,N
10-12-2018 00:00:00,0 - 1.3,0.1500,N
17-12-2018 00:00:00,0 - 1.3,0.2500,N
24-12-2018 00:00:00,0 - 1.3,0.3400,N
07-01-2019 00:00:00,0 - 1.3,0.3400,N
14-01-2019 00:00:00,0 - 1.3,0.3600,N
21-01-2019 00:00:00,0 - 1.3,0.2200,N
29-01-2019 00:00:00,0 - 1.3,0.2900,N
04-02-2019 00:00:00,0 - 1.3,0.4000,N
11-02-2019 00:00:00,0 - 1.3,0.3000,N
18-02-2019 00:00:00,0 - 1.3,0.3800,N
25-02-2019 00:00:00,0 - 1.3,0.2500,N
04-03-2019 00:00:00,0 - 1.3,0.3500,N
11-03-2019 00:00:00,0 - 1.3,0.3100,N
18-03-2019 00:00:00,0 - 1.3,0.2400,N
25-03-2019 00:00:00,0 - 1.3,0.1900,N
